Temperature,Volume,D,SM1,SM2,W,Mixing,Time,SM1B,SM2B,SM3B,WB,P,I1,I2,I3,I4
50,0.8,0.1,1,1.1,0.5,100,3,0.091604399,0.004949404,0.079632558,0.479953609,0.962359624,0.004475779,0.022115725,0.001814165,0.000338611
50,0.8,0.1,1,1.1,0.5,100,3.75,0.093472826,0.002348371,0.074060039,0.479145075,0.966649154,0.005067309,0.022264227,0.002474197,0.000438543
50,0.8,0.1,1,1.1,0.5,100,4.5,0.094001444,0.00116106,0.071187066,0.478406439,0.968297973,0.005629275,0.022336006,0.003141054,0.000538764
50,0.8,0.1,1,1.1,0.5,100,5.25,0.093919225,0.000587545,0.069518921,0.477703439,0.968774777,0.006174784,0.022371836,0.003808224,0.000639087
50,0.8,0.1,1,1.1,0.5,100,6,0.093547007,0.00030194,0.068424155,0.477020734,0.968698912,0.006709929,0.022390072,0.004472693,0.000739427
50,0.8,0.1,1,1.2,0.1,300,0.75,0.068528254,0.047921977,0.222488512,0.093196716,0.923391438,0.004137778,0.005239234,0.000108394,0.00012293
50,0.8,0.1,1,1.2,0.1,300,1.5,0.095233805,0.005293137,0.150540866,0.0926361,0.989800222,0.006815006,0.005551529,0.000356714,0.000307335
50,0.8,0.1,1,1.2,0.1,300,2.25,0.099141224,0.000829705,0.139656782,0.092313692,0.995951498,0.009086784,0.005592005,0.000638646,0.000496587
50,0.8,0.1,1,1.2,0.1,300,3,0.099535123,0.000141024,0.13611652,0.092021426,0.994945177,0.011265308,0.005598559,0.000924359,0.000686123
50,0.8,0.1,1,1.2,0.1,300,3.75,0.099365518,2.46E-05,0.133755175,0.091735391,0.992855797,0.013396065,0.005599685,0.001209268,0.000875333
50,0.8,0.1,1,1.2,0.1,300,4.5,0.099102122,4.48E-06,0.131624185,0.091451822,0.990615827,0.015487149,0.005599885,0.001492637,0.001064127
50,0.8,0.1,1,1.2,0.1,300,5.25,0.098823983,7.65E-07,0.129563454,0.091170066,0.988381248,0.01754062,0.005599922,0.001774356,0.001252493
50,0.8,0.1,1,1.2,0.1,300,6,0.098544729,8.73E-08,0.127545098,0.09089,0.986177898,0.019557501,0.005599929,0.002054415,0.001440438
50,1.2,0.01,1,1.1,0.5,300,0.75,0.001747105,0.812964192,1.008063179,0.474066005,0.092672613,0.000301514,0.030168745,9.80E-06,5.30E-06
50,1.2,0.01,1,1.1,0.5,300,1.5,0.001937753,0.705064335,0.923879803,0.449340881,0.175245414,0.001099229,0.054883729,1.99E-05,2.04E-05
50,1.2,0.01,1,1.1,0.5,300,2.25,0.002148414,0.610425966,0.848235636,0.428957882,0.248552203,0.002255971,0.07525603,3.06E-05,4.43E-05
50,1.2,0.01,1,1.1,0.5,300,3,0.002380756,0.527365427,0.780394884,0.412073398,0.313542016,0.003665612,0.092129157,4.20E-05,7.60E-05
50,1.2,0.01,1,1.1,0.5,300,3.75,0.002636343,0.454471895,0.719677596,0.398036192,0.371058505,0.005246745,0.106154243,5.41E-05,0.000114525
50,1.2,0.01,1,1.1,0.5,300,4.5,0.002915988,0.390547704,0.665456961,0.386336177,0.421852855,0.006937583,0.117841269,6.71E-05,0.000159137
50,1.2,0.01,1,1.1,0.5,300,5.25,0.003220159,0.334565712,0.617156441,0.376568355,0.466594898,0.008691834,0.127595128,8.11E-05,0.00020911
50,1.2,0.01,1,1.1,0.5,300,6,0.003548719,0.285636508,0.574246204,0.368407166,0.505883299,0.010475407,0.135741272,9.61E-05,0.0002638
50,1.2,0.01,1,1.2,0.1,100,0.75,0.001606848,0.912742627,1.159009155,0.093003366,0.087372635,0.000199002,0.003846197,1.06E-06,3.23E-06
50,1.2,0.01,1,1.2,0.1,100,1.5,0.001721008,0.828885511,1.077858138,0.089640808,0.167434002,0.000739157,0.007207683,2.13E-06,1.26E-05
50,1.2,0.01,1,1.2,0.1,100,2.25,0.001844186,0.752130519,1.003120675,0.086693595,0.240547958,0.001543448,0.010153789,3.24E-06,2.75E-05
50,1.2,0.01,1,1.2,0.1,100,3,0.001976809,0.681904548,0.93434389,0.084104114,0.30729398,0.002548818,0.012742119,4.39E-06,4.75E-05
50,1.2,0.01,1,1.2,0.1,100,3.75,0.002119266,0.617682303,0.871101713,0.081824123,0.368201343,0.003703886,0.015020912,5.59E-06,7.22E-05
50,1.2,0.01,1,1.2,0.1,100,4.5,0.002272282,0.558980272,0.812992179,0.079812983,0.423755704,0.004967012,0.0170308,6.84E-06,0.000101112
50,1.2,0.01,1,1.2,0.1,100,5.25,0.002436543,0.505355849,0.759639946,0.07803626,0.474399842,0.006304662,0.018806213,8.15E-06,0.000133907
50,1.2,0.01,1,1.2,0.1,100,6,0.002611862,0.456400914,0.710693205,0.076464625,0.520539516,0.007690034,0.020376473,9.52E-06,0.00017023
50,1.2,0.1,1,1.1,0.1,100,0.75,0.032208984,0.340391776,0.482763718,0.099780161,0.574844754,0.001139012,0.003530778,2.46E-05,3.28E-05
50,1.2,0.1,1,1.1,0.1,100,1.5,0.052517656,0.141939683,0.263997902,0.09839628,0.790934264,0.002442706,0.00487204,6.72E-05,0.000101756
50,1.2,0.1,1,1.1,0.1,100,2.25,0.069348445,0.069817803,0.174629668,0.097740982,0.878322951,0.003391086,0.005466096,0.000128421,0.000184544
50,1.2,0.1,1,1.1,0.1,100,3,0.080432047,0.039512731,0.132753899,0.097355565,0.918663845,0.004114167,0.005776797,0.000203136,0.000273257
50,1.2,0.1,1,1.1,0.1,100,3.75,0.087386095,0.024536496,0.110328912,0.097088858,0.939807335,0.004709109,0.00596027,0.00028637,0.00036487
50,1.2,0.1,1,1.1,0.1,100,4.5,0.091822101,0.016164645,0.097031307,0.096883243,0.951975201,0.005227378,0.006077338,0.000374918,0.000458072
50,1.2,0.1,1,1.1,0.1,100,5.25,0.094729458,0.011069249,0.088545636,0.09671283,0.959427797,0.005696842,0.006155818,0.000466851,0.000552217
50,1.2,0.1,1,1.1,0.1,100,6,0.096679525,0.007781762,0.082831552,0.096564335,0.964173634,0.006133598,0.006210179,0.000560985,0.000646952
50,1.2,0.1,1,1.2,0.5,300,0.75,0.043816068,0.216060066,0.533887065,0.486112666,0.713911771,0.002216179,0.020392468,0.000199043,5.49E-05
50,1.2,0.1,1,1.2,0.5,300,1.5,0.077889266,0.048003783,0.333337602,0.481259208,0.909487292,0.004649639,0.024825936,0.000619033,0.000161928
50,1.2,0.1,1,1.2,0.5,300,2.25,0.093840652,0.012452431,0.280257392,0.479633839,0.958398615,0.006673767,0.025861948,0.001208389,0.000282559
50,1.2,0.1,1,1.2,0.5,300,3,0.098536218,0.003556056,0.264422009,0.478702254,0.97036514,0.008546185,0.026142229,0.001859693,0.000406579
50,1.2,0.1,1,1.2,0.5,300,3.75,0.099478437,0.001057769,0.258580258,0.477954129,0.972450201,0.010362135,0.026223644,0.002526404,0.00053137
50,1.2,0.1,1,1.2,0.5,300,4.5,0.099292779,0.00032171,0.255598761,0.47726222,0.971730869,0.012150128,0.026248047,0.003193909,0.000656212
50,1.2,0.1,1,1.2,0.5,300,5.25,0.098774705,0.000100017,0.253470034,0.476590797,0.970197731,0.013918717,0.026255499,0.003857881,0.0007809
50,1.2,0.1,1,1.2,0.5,300,6,0.098159237,3.09E-05,0.251607622,0.475929303,0.968431939,0.015670583,0.026257807,0.004517066,0.000905372
40,1,0.05,1,1.15,0.3,200,0.75,0.009550343,0.550106889,0.819648928,0.289651243,0.384727628,0.00060158,0.007194746,1.30E-05,1.10E-05
40,1,0.05,1,1.15,0.3,200,1.5,0.014163062,0.308268031,0.576143613,0.285582737,0.626035315,0.001686738,0.011244709,3.16E-05,3.83E-05
40,1,0.05,1,1.15,0.3,200,2.25,0.0207132,0.164212242,0.426626076,0.283360864,0.773356853,0.002766019,0.013439481,5.87E-05,7.57E-05
40,1,0.05,1,1.15,0.3,200,3,0.02855845,0.083651464,0.338357479,0.282184797,0.859658049,0.003727963,0.014577202,9.70E-05,0.000119215
40,1,0.05,1,1.15,0.3,200,3.75,0.035910097,0.041702408,0.288722463,0.281563552,0.90753616,0.00458292,0.015148147,0.000147318,0.000166203
